"","SchNum","Year","TotalIncident","DrugNum","SuspensionNum"
"1",1015,2008,0,0,0
"2",1015,2009,4,0,4.002
"3",1015,2010,0,0,0
"4",1015,2011,0,0,0
"5",1015,2015,0,0,0
"6",1021,2008,4,0,4.002
"7",1021,2009,7,0,6.993
"8",1022,2008,9,0,2.76
"9",1022,2009,4,1.536,3.008
"10",1023,2008,3,0,9.75
"11",1023,2009,4,2.635,5.355
"12",1100,2008,33,0.712,32.752
"13",1100,2009,92,2.916,91.125
"14",1100,2010,21,0.725,21.025
"15",1100,2011,1,0,0.703
"16",1100,2012,19,0,19.368
"17",1100,2013,15,7.092,14.972
"18",1100,2014,3,0,2.84
"19",1100,2015,24,6.85,19.865
"20",1220,2008,118,16.982,117.661
"21",1220,2009,52,6.924,51.93
"22",1220,2010,77,5.615,76.364
"23",1220,2011,57,20.97,57.085
"24",1220,2012,37,16.8,34.8
"25",1220,2013,35,10.593,35.31
"26",1220,2014,22,5.79,22.002
"27",1220,2015,26,7.847,25.783
"28",1222,2008,5,0,4.93
"29",1222,2009,2,0,1.965
"30",1222,2010,0,0,0
"31",1222,2011,0,0,0
"32",1222,2012,0,0,0
"33",1222,2013,0,0,0
"34",1222,2014,0,0,0
"35",1222,2015,0,0,0
"36",1250,2008,211,28.674,211.338
"37",1250,2009,244,9.889,239.134
"38",1250,2010,109,18.768,106.352
"39",1250,2011,118,12.138,117.096
"40",1250,2012,26,6.03,26.13
"41",1250,2013,4,0,3.952
"42",1250,2014,2,1.008,2.016
"43",1250,2015,14,2.21,12.818
"44",1440,2008,27,4.164,27.066
"45",1440,2009,7,1.072,6.968
"46",1440,2010,14,4.046,14.042
"47",1440,2011,6,1.028,5.911
"48",1440,2012,12,4.94,11.96
"49",1440,2013,10,1.953,10.044
"50",1440,2014,10,3.887,9.867
"51",1440,2015,13,2.03,13.05
"52",1500,2008,2,0,1.98
"53",1500,2009,13,2.03,13.05
"54",1500,2010,18,1.179,16.899
"55",1500,2011,5,0,4.956
"56",1500,2012,13,3.008,13.16
"57",1500,2013,11,0,11.008
"58",1500,2014,7,1.87,7.106
"59",1500,2015,20,2.898,14.904
"60",1510,2014,0,0,0
"61",1510,2015,0,0,0
"62",1540,2008,14,1.1,14.08
"63",1540,2009,27,0,25.08
"64",1540,2010,31,5.16,1.032
"65",1540,2011,27,5.088,27.03
"66",1540,2012,30,5.066,30.098
"67",1540,2013,18,4.035,18.023
"68",1540,2014,42,8.925,42.126
"69",1540,2015,17,5.096,17.108
"70",1550,2013,9,2.185,9.177
"71",1550,2014,13,1.875,13.125
"72",1550,2015,8,2.03,8.12
"73",1560,2008,2,0,1.86
"74",1560,2009,0,0,0
"75",1560,2010,0,0,0
"76",1560,2011,0,0,0
"77",1560,2012,1,0,0.972
"78",1560,2013,1,0,0.948
"79",1560,2014,0,0,0
"80",1560,2015,0,0,0
"81",1570,2008,0,0,0.256
"82",1570,2009,0,0,0.675
"83",1570,2010,1,0,0.348
"84",1600,2008,99,5.088,93.916
"85",1640,2008,209,7.923,208.083
"86",1640,2009,98,12.012,97.944
"87",1680,2008,65,3.928,64.812
"88",1680,2009,173,17.969,173.348
"89",1680,2010,235,28.014,233.856
"90",1680,2011,135,24.072,127.381
"91",1680,2012,139,36.918,138.882
"92",1680,2013,97,26.274,94.224
"93",1680,2014,97,9.312,86.136
"94",1680,2015,65,10,56.875
"95",1730,2008,32,0,31.819
"96",1730,2009,29,0,29.16
"97",1730,2010,23,0.749,23.219
"98",1730,2011,27,4.056,25.688
"99",1730,2012,12,3.12,11.856
"100",1730,2013,5,0,4.977
"101",1730,2014,13,2.795,12.857
"102",1730,2015,14,1.108,13.85
"103",1800,2008,178,4.064,177.8
"104",1800,2009,118,12.324,117.552
"105",1800,2010,121,7.024,86.044
"106",1800,2011,73,4.102,69.734
"107",1800,2012,67,7.815,67.209
"108",1800,2013,52,6.912,51.264
"109",1800,2014,59,5.211,55.005
"110",1800,2015,121,14.96,118.8
"111",1830,2008,190,14.26,189.658
"112",1830,2009,244,9.816,243.764
"113",1830,2010,176,14.78,152.973
"114",1830,2011,150,26.32,67.774
"115",1830,2012,137,17.388,135.792
"116",1830,2013,89,9.9,87.3
"117",1830,2014,103,19.872,99.36
"118",1830,2015,173,34.185,170.28
"119",1860,2008,38,4.816,37.84
"120",1860,2009,71,4.686,71.071
"121",1860,2010,16,0.694,2.776
"122",1860,2011,17,0,17.226
"123",1860,2012,16,3.807,16.074
"124",1860,2013,14,3.88,13.968
"125",1860,2014,7,4.824,6.834
"126",1860,2015,0,0,0
"127",2070,2008,18,4.095,13.923
"128",2070,2009,36,0,35.926
"129",2080,2008,39,5.072,38.991
"130",2080,2009,42,0.912,41.952
"131",2080,2010,19,0.956,18.881
"132",2080,2011,35,2.937,34.977
"133",2080,2012,51,1.062,49.914
"134",2080,2013,57,1.173,55.131
"135",2080,2014,56,5.052,55.993
"136",2080,2015,39,2.864,37.948
"137",3020,2008,17,0,16.992
"138",3020,2009,45,4.008,44.923
"139",3020,2010,0,0,0
"140",3020,2011,0,0,0
"141",3020,2012,0,0,0
"142",3040,2008,20,6.06,19.998
"143",3050,2008,3,0,3.094
"144",3050,2009,12,0,11.911
"145",3050,2010,8,2.128,7.98
"146",3050,2011,4,0,3.991
"147",3050,2012,6,0,5.882
"148",3050,2013,10,2.118,9.884
"149",3050,2014,8,0,6.93
"150",3050,2015,7,0,3.839
"151",3070,2008,11,0.96,11.04
"152",3070,2009,18,0,17.976
"153",3070,2010,8,1.006,8.048
"154",3070,2011,23,6.061,23.142
"155",3070,2012,22,4.128,22.188
"156",3070,2013,18,0,17.888
"157",3070,2014,12,1.83,12.2
"158",3070,2015,10,2.785,10.026
"159",3110,2008,17,0,17.08
"160",3110,2009,9,1.036,8.029
"161",3110,2010,28,4.116,27.93
"162",3110,2011,19,0,19.046
"163",3130,2008,5,0,0
"164",3130,2009,5,0,0
"165",3130,2010,2,5.627,5.627
"166",3140,2008,37,0.867,34.969
"167",3140,2009,52,0.999,51.948
"168",3140,2010,57,3.024,57.078
"169",3140,2011,21,3.883,20.827
"170",3140,2012,53,13.838,53.108
"171",3140,2013,43,2.04,42.84
"172",3140,2014,6,1.167,5.835
"173",3140,2015,18,1.125,18
"174",3230,2008,16,0,16.125
"175",3230,2009,15,0.852,14.91
"176",3230,2010,24,4.807,24.035
"177",3230,2011,20,0,19.952
"178",3230,2012,25,4.81,25.012
"179",3230,2013,20,2.276,19.915
"180",3230,2014,24,4.144,24.272
"181",3230,2015,21,6.149,21.242
"182",3240,2008,29,4.976,27.99
"183",3240,2009,16,5.89,16.12
"184",3240,2010,47,3.132,28.884
"185",3240,2011,46,8.97,46.046
"186",3240,2012,32,2.98,31.886
"187",3240,2013,23,2.128,23.104
"188",3240,2014,28,1.946,28.078
"189",3240,2015,21,1.974,20.868
"190",3250,2013,8,0,8.18
"191",3250,2014,34,0.918,33.966
"192",3250,2015,18,0,14.946
"193",3260,2008,34,0.882,30.87
"194",3260,2009,28,0,13.86
"195",3260,2010,18,1.008,11.088
"196",3260,2011,41,1.908,25.122
"197",3260,2012,20,1.1,20.075
"198",3260,2013,24,5.934,23.994
"199",3260,2014,14,5.88,13.965
"200",3260,2015,19,1.912,16.969
"201",3280,2008,22,0,21.942
"202",3280,2009,42,3.016,41.992
"203",3280,2010,50,9.9,48.9
"204",3280,2011,42,2.064,38.958
"205",3280,2012,29,0.952,29.036
"206",3280,2013,30,12.036,29.988
"207",3280,2014,0,0,0
"208",3280,NA,NA,NA,NA
"209",3310,2008,11,0,11.016
"210",3310,2009,2,0,2.015
"211",3390,2008,22,6.146,21.95
"212",3390,2009,11,2.075,11.205
"213",3390,2010,15,0,14.945
"214",3390,2011,17,4.23,16.92
"215",3390,2012,16,4.779,15.93
"216",3390,2013,12,2.14,11.77
"217",3390,2014,9,3.132,7.83
"218",3390,2015,27,2.976,18.848
"219",3400,2008,35,0,0
"220",3400,2009,66,0,0
"221",3400,2010,29,0,0
"222",3400,2011,24,0,0
"223",3400,2012,0,0,0
"224",3400,2013,0,0,0
"225",3400,2014,0,0,0
"226",3400,2015,0,0,0
"227",4000,2008,1,0,0.897
"228",4000,2009,0,0,0
"229",4000,2010,4,0,3.15
"230",4000,2011,3,2.037,2.91
"231",4000,2012,1,0,1.132
"232",4000,2013,0,0,0
"233",4000,2014,4,0,4.082
"234",4000,2015,6,0,6.116
"235",4060,2008,25,0,25.112
"236",4060,2009,0,0,0
"237",4060,2010,3,0,2.862
"238",4060,2011,5,0,4.074
"239",4060,2012,10,1.028,4.883
"240",4060,2013,13,0,8.064
"241",4060,2014,13,0,2.046
"242",4060,2015,0,0,0
"243",4080,2008,1,0,0.861
"244",4080,2009,0,0,0
"245",4180,2008,3,0,3.06
"246",4180,2009,1,0,1.002
"247",4180,2010,6,0,5.984
"248",4180,2011,1,0,0.99
"249",4180,2012,0,0,0
"250",4180,2013,0,0,0
"251",4180,2014,2,2.04,2.04
"252",4180,2015,0,0,0
"253",4200,2008,0,0,0
"254",4200,2009,0,0,0
"255",4200,2010,1,0,1.017
"256",4200,2011,2,0,1.962
"257",4200,2012,0,0,0
"258",4200,2013,0,0,0
"259",4200,2014,0,0,0
"260",4200,2015,0,0,0
"261",4250,2008,0,0,0
"262",4250,2009,1,0,0.858
"263",4250,2010,4,0,4.134
"264",4250,2011,11,0,11.104
"265",4250,2012,0,0,0
"266",4250,2013,0,0,0
"267",4250,2014,2,0,1.82
"268",4250,2015,0,0,0
"269",4320,2008,1,0,0.92
"270",4320,2009,11,0,11.032
"271",4360,2008,0,0,0
"272",4360,2009,1,0,1.086
"273",4360,2010,0,0,0
"274",4360,2011,0,0,0
"275",4360,2012,0,0,0
"276",4360,2013,0,0,0
"277",4360,2014,0,0,0
"278",4360,2015,0,0,0
"279",4400,2008,0,0,0
"280",4400,2009,1,0,0.996
"281",4400,2010,1,0,0
"282",4400,2011,1,0,0.936
"283",4400,2012,1,1.07,1.07
"284",4400,2013,0,0,0
"285",4400,2014,3,0,2.034
"286",4400,2015,6,0,6.112
"287",4420,2008,3,0,3.088
"288",4420,2009,0,0,0
"289",4420,2010,0,0,0
"290",4420,2011,3,2.96,2.96
"291",4420,2012,0,0,0
"292",4420,2013,4,0,3.96
"293",4420,2014,2,0,1.989
"294",4420,2015,0,0,0
"295",4440,2008,2,0,2.088
"296",4440,2009,3,0,3.075
"297",4440,2010,4,0,4.08
"298",4440,2011,3,0,3.026
"299",4440,2012,0,0,0
"300",4440,2013,0,0,0
"301",4440,2014,0,0,0
"302",4440,2015,2,0,2.115
"303",4470,2008,0,0,0
"304",4470,2009,0,0,0
"305",4470,2010,1,0,0
"306",4470,2011,0,0,0
"307",4470,2012,2,0,2.055
"308",4470,2013,2,0,2.09
"309",4470,2014,0,0,0
"310",4470,2015,1,0,1.113
"311",4480,2008,16,0,15.08
"312",4480,2009,10,0,9.881
"313",4480,2010,8,0.965,7.913
"314",4480,2011,4,0,3.948
"315",4480,2012,0,0,0
"316",4480,2013,2,0,1.01
"317",4480,2014,0,0,0
"318",4480,2015,1,0,0.97
"319",4580,2008,1,0,1.01
"320",4580,2009,3,0,3.026
"321",4580,2010,5,1.044,4.002
"322",4580,2011,1,0,1.026
"323",4580,2012,2,0,1.992
"324",4580,2013,0,0,0
"325",4580,2014,0,0,0
"326",4580,2015,0,0,0
"327",4630,2008,1,0,0.864
"328",4630,2009,2,0.873,2.037
"329",4630,2010,1,0,1.068
"330",4630,2011,4,0,4.046
"331",4630,2012,6,0,5.992
"332",4630,2013,7,0,7.038
"333",4630,2014,2,0,1.992
"334",4630,2015,1,0,0.891
"335",4660,2008,0,0,0
"336",4660,2009,0,0,0
"337",4660,2010,2,0,2.022
"338",4660,2011,1,0,0.9
"339",4660,2012,0,0,0
"340",4660,2013,0,0,0
"341",4660,2014,0,0,0
"342",4660,2015,0,0,0
"343",4720,2008,2,0,2.009
"344",4720,2009,1,0,0.984
"345",4720,2010,1,0,0.987
"346",4720,2011,0,0,0
"347",4730,2008,3,0,2.784
"348",4730,2009,2,0,2.215
"349",4730,2010,3,0,2.772
"350",4730,2011,4,0,3.924
"351",4730,2012,5,0,5.09
"352",4730,2013,0,0,0
"353",4730,2014,0,0,0
"354",4730,2015,1,0,1.022
"355",4760,2008,10,0,9.936
"356",4780,2008,10,1.07,10.058
"357",4780,2009,3,0,3.058
"358",4780,2010,9,0,8.944
"359",4780,2011,1,0,0.891
"360",4780,2012,3,2.079,3.003
"361",4780,2013,1,0,0.969
"362",4780,2014,7,0,5.856
"363",4780,2015,5,0,4.9
"364",4880,2008,7,2.079,6.993
"365",4880,2009,1,0,0.99
"366",4880,2010,3,0,3.003
"367",4880,2011,4,0,3.92
"368",4880,2012,10,0,9.964
"369",4880,2013,2,0,1.935
"370",4880,2014,2,0,1.991
"371",4880,2015,3,0,2.912
"372",4890,2008,0,0,0
"373",4890,2009,6,0,5.97
"374",4890,2010,3,0,3.12
"375",4890,2011,1,0,1.085
"376",4890,2012,0,0,0
"377",4890,2013,2,0,2.057
"378",4890,2014,1,0,1.06
"379",4890,2015,0,0,0
"380",4900,2008,13,0,8.892
"381",4900,2009,6,0,5.928
"382",4900,2010,21,0,18.963
"383",4900,2011,18,0,12.002
"384",4900,2012,12,0,9.963
"385",4900,2013,2,0,1.86
"386",4900,2014,6,0,5.835
"387",4900,2015,2,0,2.005
"388",4920,2008,2,0,2.01
"389",4920,2009,3,0,2.899
"390",4920,2010,8,0,8.028
"391",4920,2011,3,0,2.928
"392",4920,2012,1,0,0.932
"393",4920,2013,0,0,0
"394",4920,2014,2,0,1.96
"395",4920,2015,0,0,0
"396",4960,2012,0,0,0
"397",4960,2013,0,0,0
"398",4960,2014,0,0,0
"399",4960,2015,0,0,0
"400",4990,2013,5,0,4.716
"401",4990,2014,2,0,2.02
"402",4990,2015,9,0,8.856
"403",5020,2008,3,0,2.86
"404",5020,2009,5,0.984,4.92
"405",5020,2010,4,0,4.066
"406",5020,2011,5,0,4.925
"407",5020,2012,4,0,4.04
"408",5020,2013,2,0,1.953
"409",5020,2014,2,0,1.926
"410",5020,2015,3,0,3.045
"411",5030,2008,0,0,0
"412",5030,2009,0,0,0
"413",5030,2010,1,0,1.164
"414",5030,2011,0,0,0
"415",5030,2012,0,0,0
"416",5030,2013,0,0,0
"417",5030,2014,0,0,0
"418",5030,2015,0,0,0
"419",5060,2008,6,1.032,5.934
"420",5060,2009,2,0,1.968
"421",5060,2010,3,0,3.072
"422",5060,2011,0,0,0
"423",5060,2012,0,0,0
"424",5060,2013,1,0,1.06
"425",5060,2014,2,0,1.984
"426",5060,2015,5,0,5.04
"427",5100,2008,4,0,3.99
"428",5100,2009,17,0,1
"429",5100,2010,2,0,0
"430",5100,2011,0,0,0
"431",5100,2012,0,0,0
"432",5100,2013,1,0,1.024
"433",5100,2014,3,0,2.889
"434",5100,2015,4,0,4.068
"435",5180,2008,2,0,1.976
"436",5180,2009,16,4.008,16.032
"437",5180,2010,6,0,6.156
"438",5180,2011,17,0,16.896
"439",5180,2012,38,8.932,38.164
"440",5180,2013,8,0,8.096
"441",5180,2014,8,1.945,8.169
"442",5180,2015,11,1.935,10.836
"443",5240,2008,0,0,0
"444",5240,2009,0,0,0
"445",5240,2010,0,0,0
"446",5240,2011,1,0,1.068
"447",5240,2012,0,0,0
"448",5240,2013,0,0,0
"449",5240,2014,0,0,0
"450",5240,2015,0,0,0
"451",5260,2008,1,0,1.05
"452",5260,2009,0,0,0
"453",5260,2010,1,0,0.972
"454",5260,2011,6,0,6.003
"455",5260,2012,2,0,1.98
"456",5260,2013,5,0,5.106
"457",5260,2014,0,0,0
"458",5260,2015,2,0,1.86
"459",5280,2008,5,0,2.057
"460",5280,2009,5,0,4.968
"461",5340,2008,2,0,2.121
"462",5340,2009,1,0,1.092
"463",5340,2010,1,0,1.056
"464",5340,2011,1,0,0.918
"465",5340,2012,0,0,0
"466",5340,2013,0,0,0
"467",5340,2014,0,0,0
"468",5340,2015,0,0,0
"469",5500,2008,4,0,2.912
"470",5500,2009,5,2.912,4.914
"471",5500,2010,5,0,5.064
"472",5500,2011,7,0,7.006
"473",5500,2012,1,0,1.04
"474",5500,2013,0,0,0
"475",5500,2014,1,0,0
"476",5500,2015,5,0,5.104
"477",5520,2008,0,0,0
"478",5520,2009,0,0,0
"479",5520,2010,0,0,0
"480",5520,2011,0,0,0
"481",5520,2012,0,0,0
"482",5520,2013,0,0,0
"483",5520,2014,0,0,0
"484",5520,2015,0,0,0
"485",5540,2008,5,0,5.103
"486",5560,2008,3,0,3.036
"487",5560,2009,1,0,1.086
"488",5560,2010,0,0,0
"489",5560,2011,1,0,0.944
"490",5560,2012,7,0,7.018
"491",5560,2013,2,0,1.866
"492",5560,2014,3,0,3.1
"493",5560,2015,0,0,0
"494",5590,2008,1,0,1.188
"495",5590,2009,1,0,0.824
"496",5590,2010,0,0,0
"497",5590,2011,0,0,0
"498",5590,2012,0,0,0
"499",5590,2013,0,0,0
"500",5590,2014,0,0,0
"501",5590,2015,3,0,3.032
"502",5600,2008,4,0,3.924
"503",5600,2009,1,0,0.87
"504",5600,2010,5,1.041,4.858
"505",5600,2011,0,0,0
"506",5600,2012,0,0,0
"507",5600,2013,0,0,0
"508",5600,2014,0,0,0
"509",5600,2015,0,0,0
"510",5610,2008,3,0,2.86
"511",5610,2009,2,0,2.149
"512",5610,2010,8,2.154,7.898
"513",5610,2011,2,0,2
"514",5610,2012,0,0,0
"515",5610,2013,0,0,0
"516",5610,2014,8,0,8.043
"517",5610,2015,7,0,7.035
"518",5620,2008,4,0,3.934
"519",5620,2009,6,0,5.98
"520",5620,2010,6,0,5.984
"521",5620,2011,5,0,5.024
"522",5620,2012,9,0,9.03
"523",5620,2013,1,0,0.879
"524",5620,2014,3,0,3.07
"525",5620,2015,10,0,9.944
"526",5740,2008,5,0,4.896
"527",5740,2009,3,0,2.94
"528",5780,2008,0,0,0
"529",5780,2009,0,0,0
"530",5780,2010,0,0,0
"531",5780,2011,3,0,2.862
"532",5780,2012,6,0,5.933
"533",5780,2013,0,0,0
"534",5780,2014,1,0,1.116
"535",5780,2015,2,0,1.92
"536",5800,2008,1,0,1.008
"537",5800,2009,0,0,0
"538",5800,2010,0,0,0
"539",5800,2011,0,0,0
"540",5800,2012,3,0,2.961
"541",5800,2013,1,0,0.948
"542",5800,2014,0,0,0
"543",5800,2015,2,0,0.915
"544",5820,2008,1,0,0.916
"545",5820,2009,0,0,0
"546",5840,2008,1,0,1.044
"547",5840,2009,0,0,0
"548",5840,2010,1,0,1.001
"549",5840,2011,0,0,0
"550",5840,2012,1,0,0.992
"551",5840,2013,2,0,2.041
"552",5840,2014,0,0,0
"553",5860,2008,0,0,0
"554",5860,2009,2,0,2.016
"555",5860,2010,14,0,13.978
"556",5860,2011,0,0,0
"557",5860,2012,5,0,4.978
"558",5860,2013,1,0,1
"559",5860,2014,0,0,0
"560",5860,2015,0,0,0
"561",5880,2008,2,0,1.998
"562",5880,2009,0,0,0
"563",5930,2008,0,0,44.608
"564",5930,2009,0,2.149,73.066
"565",5930,2010,0,3.696,29.876
"566",5930,2011,0,4.037,50.646
"567",5930,2012,0,0,0
"568",5930,2013,0,0,0
"569",5930,2014,0,0,0
"570",5930,2015,0,0,0
"571",5960,2008,4,0,3.864
"572",5960,2009,2,0,1.869
"573",5960,2010,13,0,12.886
"574",5960,2011,14,1.005,14.07
"575",5960,2012,14,0,14.008
"576",5960,2013,5,0,5.016
"577",5960,2014,0,0,0
"578",5960,2015,2,0,2.054
"579",5970,2008,1,0,1.14
"580",5970,2009,2,0,1.845
"581",5970,2010,7,0,6.834
"582",5970,2011,6,0,6.086
"583",5970,2012,4,0,3.982
"584",5970,2013,3,0,0
"585",5970,2014,0,0,0
"586",5970,2015,1,0,1.146
"587",6010,2008,0,0,0
"588",6010,2009,0,0,0
"589",6010,2010,1,0,0.972
"590",6010,2011,0,0,0
"591",6010,2012,0,0,0
"592",6010,2013,0,0,0
"593",6010,2014,0,0,0
"594",6010,2015,0,0,0
"595",6030,2008,0,0,0
"596",6030,2009,0,0,0
"597",6030,2010,0,0,0
"598",6030,2011,0,0,0
"599",6030,2012,0,0,0
"600",6030,2013,0,0,0
"601",6030,2014,0,0,0
"602",6030,2015,0,0,0
"603",6120,2008,0,0,0
"604",6120,2009,0,0,0
"605",6120,2010,1,0,0.966
"606",6120,2011,8,0,8.092
"607",6120,2012,0,0,0
"608",6120,2013,1,0,1.06
"609",6120,2014,5,0,4.83
"610",6120,2015,0,0,0
"611",6140,2008,7,0,7.035
"612",6280,2008,0,0,0
"613",6280,2009,0,0,0
"614",6280,2010,0,0,0
"615",6280,2011,0,0,0
"616",6280,2012,0,0,0
"617",6280,2013,0,0,0
"618",6280,2014,0,0,0
"619",6280,2015,0,0,0
"620",6340,2008,0,0,0
"621",6340,2009,0,0,0
"622",6340,2010,0,0,0
"623",6340,2011,0,0,0
"624",6340,2012,0,0,0
"625",6340,2013,0,0,0
"626",6340,2014,0,0,0
"627",6340,2015,0,0,0
"628",7500,2008,0,0,0
"629",7500,2009,0,0,0
"630",9990,2008,0,0,0
"631",9990,2009,0,0,0
"632",9990,2010,0,0,0
"633",9990,2011,0,0,0
"634",9990,2012,0,0,0
"635",9990,2013,0,0,0
"636",9990,2014,0,0,0
"637",9990,2015,0,0,0
"638",9995,2008,0,0,0
"639",9995,2009,0,0,0
"640",9995,2010,0,0,0
"641",9995,2011,0,0,0
"642",9995,2012,0,0,0
"643",9995,2013,0,0,0
"644",9995,2014,0,0,0
"645",9995,2015,0,0,0
