"","Precinct","MalePop","FemalePop","Male1524","Male65Plus","LaborForce","UnemploymentRate","HispanicUnemployed","WhiteUnemployed","HisWhiteUnemployed","HisBlackUnemployed","HisAsianUnemployed","AboveBacholarUnemployed","PovertyUnemployed","Income"
"2",1,28165.5,28873.5,2907.5,1823.5,45258.5075,2398.2925,2642.2085,2150.1665,2147.137,3626.676,2426.0845,1866.28,18037.9615,1326169.5
"3",5,23267.5,23627.5,3048.5,3267.5,27117.663,3944.032,3533.215,2636.613,3450.122,4240.555,3899.982,2648.364,10508.648,472840.5
"4",6,29181.5,31439,3058,3661.5,45071.161,3221.183,5179.89,3054.263,3135.6715,4938.195,3183.156,2559.2615,17697.626,1258941
"5",7,29686,33824,4011.5,4357,35046.477,7587.737,9733.217,4437.649,8690.58,7676.409,7284.801,6477.147,19646.8,365933.5
"6",9,37671.5,40377,7080,3314.5,51398.759,5519.381,7409.111,3179.956,5949.6815,7247.051,5067.291,2771.1775,17768.008,821943
"7",10,24797,22868.6666666667,2216.66666666667,2274,36423.1056666667,3423.30466666667,5866.846,2827.7405,3127.08616666667,6233.6125,2163.5345,2034.30183333333,18859.5865,855569.166666667
"8",13,45772,53261,6470.83333333333,4793.5,72859.0938333333,6022.1295,5370.62683333333,5813.61983333333,6053.29483333333,12729.5358333333,4130.8725,4464.99633333333,32631.6416666667,1425554.83333333
"9",14,12152.3333333333,12333.5,1410,1333,18100.2505,1694.17216666667,2909.1675,1513.7245,1846.48983333333,2480.82533333333,1017.3865,1109.51633333333,7296.04183333333,891230.5
"10",17,32942.8333333333,39079.8333333333,3056.83333333333,5273.5,53531.3553333333,3541.83,4364.874,3628.1005,3650.34416666667,5445.90333333333,3972.1335,2557.796,29801.6938333333,1307619.83333333
"11",18,30628.8333333333,30139.5,2973.66666666667,3585.5,44577.4421666667,3895.10066666667,4598.19966666667,3730.83766666667,4064.655,8944.451,2279.173,2889.762,17188.8801666667,1662738.66666667
"12",19,89984.5,114637,6772,14845.5,148037.0275,9452.3,11607.3005,9280.319,9203.844,21503.3925,5567.882,7690.5745,59598.4505,3677089
"13",20,44357,51954.5,2965,6924.5,70373.2235,5384.77,2548.599,5304.537,5341.204,13982.175,3268.395,4040.0235,23863.579,1323139
"14",22,20,5,2,1,8.325,25,25,0,0,25,0,0,25,3725
"15",23,34233,40402.5,6230.5,3224.5,42556.906,9514.6915,11800.966,2492.5025,8403.5035,11736.415,5113.819,5318.193,24863.5755,418426
"16",24,48776,57684,4913,7075,71069.524,8454.311,13981.056,5570.616,6566.851,17475.316,4935.154,4989.858,44496.586,779656
"17",25,22051,23824.5,3867.5,2005.5,23143.617,6299.0045,4966.511,4495.3605,5562.5185,8057.345,3269.123,6041.432,12865.2835,200890
"18",26,22583.5,27208,5876,1968.5,24773.384,2974.1925,2733.339,1652.318,2301.782,4236.3755,1750.851,2217.494,7900.3435,307222.5
"19",28,23654.5,26771.5,3476.5,1686.5,30361.368,4408.8655,3719.8465,3573.4435,3814.009,4929.2505,261.184,2504.5965,17412.9685,395528.5
"20",30,29295.5,31106,5352,2423.5,38762.545,7082.4355,7460.792,2951.713,4209.312,8330.7835,5163.145,3529.04,17412.1815,197392.5
"21",32,29539.5,35757.5,4914.5,2708.5,40707.272,12276.4605,12311.7175,7310.7315,11315.391,12492.6365,2616.054,5317.8435,25088.0095,342127.5
"22",33,34596,37347.5,6037.5,3274.5,45422.452,10168.125,11947.534,6403.41,9781.5925,12414.307,2934.807,5500.1385,22298.2075,248712
"23",34,56123,61953.5,9756.5,5185.5,79755.227,17326.159,20071.591,8189.314,13227.5105,19595.498,11268.98,12550.7175,38196.6645,476847
"24",40,41966,47560.5,8561,3008.5,48301.821,13562.263,11631.3405,18412.8425,14353.345,18043.4735,211.792,5824.9045,27484.949,250746
"25",41,26800.5,29040,5203.83333333333,1686.66666666667,29568.725,8905.468,8485.3545,13397.354,10446.5875,9218.8885,4688.5625,2696.522,20033.8435,171517.666666667
"26",42,35854,42625.8333333333,6962.83333333333,2263,43190.1373333333,14377.6161666667,13414.4758333333,11135.3111666667,13749.647,15494.3235,5709.0525,6945.25716666667,31308.6615,237647.833333333
"27",43,78721.8333333333,90588.3333333333,13812.8333333333,6626.66666666667,100708.494,22818.2431666667,23632.6445,22684.7506666667,23007.4293333333,25696.4316666667,24259.0433333333,8819.59016666667,58229.6655,673292.833333333
"28",44,69574,78586.5,12370.1666666667,4745.5,85392.1785,24369.2075,23822.632,14400.851,24803.2915,26554.9795,8351.298,11375.4,47241.93,454080.5
"29",45,50020,57620.5,7690,6718,65798.43,12242.5375,10980.5625,13212.133,11506.143,10025.249,4659.282,4165.8965,35634.4675,878620.5
"30",46,56177.5,62475,10597,2991,73145.226,22089.23,21742.59,24749.981,27003.5005,25752.768,2439.136,13130.4535,38616.566,337947.5
"31",47,76923.25,94394.5,12936.25,7967.25,107619.441,26198.62275,28893.2375,27671.744,24461.5765,25591.3975,13968.82625,12753.143,82403.82775,1007321.25
"32",48,40782.9166666667,46597.6666666667,8625.41666666667,2532.08333333333,48597.0555,16642.5344166667,16302.444,12950.1626666667,15149.0573333333,18860.5248333333,6023.82675,9838.47766666667,32131.9104166667,251636.416666667
"33",49,52270.4166666667,58597.8333333333,7685.91666666667,6010.75,69446.7486666667,14725.21875,16027.6171666667,16997.577,14118.8588333333,11496.6378333333,9790.74225,6669.367,44796.6774166667,844781.75
"34",50,45738.5,55530.5,6759,6468.5,63514.5505,11764.6065,12057.9485,8113.5175,7868.8615,12562.4755,8432.113,6843.1825,38437.134,850999
"35",52,68313.0833333333,75720.8333333333,12269.75,4476.08333333333,90077.2845,22743.85325,21625.842,37156.6375,23765.313,25191.7856666667,16591.2984166667,16411.152,47963.4714166667,480281.75
"36",60,47488.5,55818.8333333333,6780.5,8509.66666666667,53801.2685,13230.7101666667,13324.2605,10309.5811666667,10599.2471666667,15893.198,9360.28566666667,7445.92216666667,30033.0278333333,574028.666666667
"37",61,78372.5,85825.8333333333,10765.5,11253.1666666667,94926.3135,15595.3311666667,18943.6615,14708.0856666667,14779.5941666667,12683.615,12793.0436666667,12604.4771666667,52775.7383333333,1503999.66666667
"38",62,89022.6666666667,93056.1666666667,12466,10876,107367.0085,17825.4861666667,14060.2785,19188.4896666667,18737.9906666667,14629.353,16673.0201666667,14167.9011666667,41249.8338333333,1331704.33333333
"39",63,48317.8333333333,56847.3333333333,7265.5,5447.16666666667,66654.8846666667,10405.3056666667,10398.5246666667,7259.80466666667,8788.60816666667,8501.38883333333,5158.16683333333,6170.74116666667,36377.62,1343567.5
"40",66,93316.1666666667,92973.8333333333,15254.1666666667,7659.16666666667,107938.394,13690.7375,14393.903,13381.633,13458.459,15942.94,14293.8375,8296.812,25232.3095,938809.5
"41",67,64404.3333333333,81615.0833333333,10342.25,6993.91666666667,91561.7161666667,17093.9456666667,11773.6546666667,15097.0731666667,18782.7146666667,17095.5205833333,5120.04633333333,10140.4589166667,48573.8555,1049949.25
"42",68,62830.6666666667,65317.3333333333,7886.66666666667,7185.16666666667,78801.559,11099.95,9337.8365,11339.0185,11455.502,9549.34,10031.338,8447.105,31707.1395,1495129
"43",69,37418.1666666667,47805.4166666667,6678.25,3210.91666666667,56634.8905,8890.91833333333,7109.1905,9123.23533333333,10226.0686666667,8716.66258333333,6387.858,5670.13958333333,32928.6691666667,847498.916666667
"44",70,76657.8333333333,86359.3333333333,12451,7318.66666666667,102553.936166667,16908.6216666667,16815.9436666667,13267.7136666667,14638.9151666667,19050.2738333333,20358.4013333333,10741.5021666667,47245.783,1125455.5
"45",71,46466.5,56266.5,7576.5,4539,65806.1505,16056.796,14346.2465,6581.064,6944.6265,18611.5595,4200.6065,8201.9265,33949.9815,557586.5
"46",72,61411,60141.5,9266.66666666667,4190.33333333333,82428.906,11821.616,14139.783,8715.969,10975.755,17020.7715,9327.2795,7221.082,30629.0285,782123.333333333
"47",73,38317.6666666667,49274.4166666667,7476.25,2949.41666666667,47614.456,12944.3528333333,10662.171,13093.9368333333,17195.0786666667,13233.2030833333,5508,5171.92558333333,32698.5266666667,395495.416666667
"48",75,84268.6666666667,100746.416666667,16003.25,6830.91666666667,101893.9235,24432.1568333333,23315.6895,13593.8823333333,19339.1926666667,26991.9655833333,9920.106,11916.8845833333,62305.9016666667,878304.916666667
"49",76,19446.5,22173.3333333333,1855.66666666667,1665.66666666667,29907.5423333333,4069.04666666667,6813.31033333333,1400.69133333333,2211.7975,9411.1065,3348.933,2633.3805,17721.6583333333,723668
"50",77,43700.3333333333,53184.1666666667,6639.16666666667,3583.16666666667,64065.6435,10873.564,10973.1525,10300.24,9272.707,13188.031,2784.7155,3909.1445,33641.575,723719.333333333
"51",78,27233.8333333333,30682,2282.83333333333,2101.83333333333,45392.5728333333,3743.02616666667,6658.93433333333,2705.29933333333,2996.8625,4917.5745,2704.226,2413.055,15398.6988333333,1006045.83333333
"52",79,42688.5,49758,7661.5,2938.5,58978.7835,13628.0695,11680.2415,8086.6745,8722.525,15590.4705,5979.37,7310.881,31610.008,611865
"53",81,28498.5,34263,4902.5,2198,38800.0645,10521.1835,8814.4335,2535.0525,6324.496,11718.4305,4100.082,4126.319,27071.859,393318.5
"54",83,56357.5,57065.5,10550.5,3352,76113.671,16911.301,18487.594,7771.003,15535.515,21651.622,11830.325,8011.009,39579.285,526398.5
"55",84,28067,30357.3333333333,3514.16666666667,2336.66666666667,41960.2033333333,4201.75216666667,4105.21583333333,2302.03683333333,3037.92,7120.956,2614.1255,2040.055,15088.8493333333,1234227
"56",88,24320.8333333333,29025.1666666667,3274.16666666667,2080.16666666667,37195.7225,6200.6895,7785.754,3230.114,3612.7585,9128.9035,4288.416,3298.777,18447.967,799401.333333333
"57",90,60226,62083,10358,3726.5,74535.988,9821.89,13768.4205,5679.2325,8322.4695,10681.7915,4461.416,3542.759,25264.205,690674.5
"58",94,25282,25492,2809,1795.5,39010.781,3309.868,3060.3505,3142.0205,3101.4945,3156.6425,2847.207,2388.781,12654.973,868456.5
"59",100,24340,27005.5,3368,3163.5,28673.8785,5332.3885,4848.524,5683.651,4675.253,6987.545,6361.6705,2856.45,20187.696,411052.5
"60",101,29674,33958.5,4935,3146.5,36644.7735,7635.4265,6870.516,3757.467,5753.675,9396.366,7376.1445,4599.7,20118.071,222582.5
"61",102,71876,72899.8333333333,11296.6666666667,5720.66666666667,95396.6926666667,15064.4835,14073.7805,13055.8386666667,12000.0335,21514.638,15363.953,10071.095,41278.2603333333,1244316.5
"62",103,49937,53583.5,8316,4172,67380.9165,16292.688,13250.01,11675.4335,9557.914,18802.8435,11271.527,12080.166,40074.8625,609164
"63",104,82989.3333333333,86970.8333333333,11104,8482,107034.248333333,13839.2056666667,14335.11,14614.0331666667,13968.8111666667,19591.903,6985.5875,8602.9785,53370.226,1779869
"64",105,85617,98815.5,12851,10471.5,118977.092,16886.205,16703.1515,13082.299,13002.372,15470.0305,13082.289,10462.578,51861.6365,1893141.5
"65",106,53799.5,57640,8025.5,5771.5,71378.047,12373.871,11261.011,10108.17,10698.4885,12312.494,8761.8175,7290.4725,34525.3015,729327
"66",107,71051.0666666667,77327.8,11269.3666666667,8342.66666666667,91490.4498333333,15527.0413333333,15114.8455,13765.8335,14058.4948333333,21075.0095,13342.725,12277.3585,35620.0623333333,1138508.3
"67",108,61582.8333333333,59924.6666666667,7565,5296.33333333333,82952.364,8392.018,7622.5845,9957.86,8186.5295,12905.447,7320.46,6743.4065,27824.885,912470.666666667
"68",109,121209.4,132982.8,15051.7,17292.5,150695.021,22140.694,21008.4465,27695.1295,24867.8505,25756.9395,21174.6425,16252.542,53819.8235,1695869.8
"69",110,89362.7333333333,85160.9666666667,13683.7,6800.83333333333,112506.378,11329.3655,10443.8015,12536.1795,9560.8845,15764.8095,12334.2145,9736.327,26007.0515,681292.466666667
"70",111,52481,57683,6288.5,7796.5,69457.0775,8133.897,4977.0495,8518.717,7823.9095,8825.1105,8278.6755,6718.2845,29408.257,1230234.5
"71",112,52283.4,60195.6333333333,5043.36666666667,8035.16666666667,72029.1351666667,8118.282,6762.906,8012.33566666667,7690.5245,12475.7295,6912.4195,5902.477,36857.3003333333,1331105.3
"72",113,62572.5,77167,10549.5,6277,94033.942,18469.2175,22518.5845,18181.354,20538.422,18866.9845,6766.262,10529.5495,58161.332,1325681
"73",114,101998.5,97477.5,15079.5,8921,131174.166,19460.257,20284.2525,20497,18169.521,25598.6845,19493.598,12533.9135,55880.587,1819700.5
"74",115,87746.7333333333,82410.4666666667,13461.7,6955.33333333333,112422.7305,14715.2075,13773.962,10824.9025,12372.8355,21140.378,18082.462,13431.471,42102.004,746449.966666667
"75",120,86798.5,91833.5,13636.5,7769.5,105980.7355,15620.4015,14658.298,16366.1415,14089.546,17711.0565,12814.2555,8405.256,50992.264,1347172.5
"76",122,91595.5,99233.5,12626,11755.5,112867.775,14289.383,16331.294,14271.153,14779.209,7165.5535,11235.1375,7249.544,58199.9415,1460242
"77",123,48895,50374,6700.5,5112,59828.3385,6340.0245,5803.193,6341.1555,6319,1515.642,4230.904,3607.446,27634.7135,670179.5
